"Ability Combos
Some abilities are far more powerful when used in combination, this is an attempt to codefy them and rate them","Reference
(e.g. where did I get the name?)",Abilities,Explanation
Overclocked,Heating up and moving fast,Cauldron of Blood + Split Second,"Regenerating Blood pips and timestop - hit a target with cauldron of blood and feed off them in order to start regenning blood pips, pop Split Second to stop taking the damage and freeze time - Split second will regen during its own timestop making the timestop functionally infinite unless you're out of the CoB buff.
Only time you're vulnerable is when you're feeding, and Lasombra's perk, Banu's Mastery - or a decent healthbar can help with that."
"Banish
(Lasombra Sig.combo)",https://youtu.be/zEytZO4tIYU,Enter Oblivion + Arms of Ahriman,"Target with Enter Oblivion, then hit with Arms of Ahriman, then end ""Enter oblivion"" - any targets still in arms will immediately be banished, leaving no corpse.
Fastest way to kill multiple heavies."
"Fist of Cain
(Brujah's signature combo)",A potence power in V5,Taunt + Lightning Strike,Highest single target damage you can do quickly - taunt increases the damage the target takes and lighnting strike hits them hard - good for bosses.
Unerring Aim,Celerity power in V5,Split Second + Blood Salvo,"The main issue with Split Second is it paints the world in grey and white - and you can't rely on your vampire senses. This can make pinpointing enemies a little more difficulty. BUT Blood Salvo highlights enemies with the sticky crosshair, daggers thrown also only travel to the target once split second is done - which has its own usefulness as you can perfoorm a multi-pronged stealth attack by lining up daggers first - not even giving them a chance to dodge (or teleport away in the case of some bosses/heavies)."
Purge,Thaumaturgy 2 dot ability in VTMB1,Mass Manipulation + Cauldron of Blood,"This stuns all enemies in the viewable area with the cauldron of blood affect - can let you move through a group feeding without fear of repercussion - also does a little damage to them - can be looped infinitely until you're down to the last enemy - as you'll always regen Mass Manip before it ends on the targets.
A little boring but gets the job done."
Blood Shield,Thaumaturgy 3 dot ability in VTMB1,Cauldron of Blood + Blurred Momentum,"PATCHED with winter update - but still decent

If you feed on a target with COB, you regen blood pips. If you activate Blurred Momentum you'll be immune to all other damage (though you'll still take a little bit of damage from the COB dot) - but this is fine - because it'll let you regen blurred momentum and/or COB to continue doing this combo - so basically it's god mode.
Pickup the Ventrue Perk and you'll always heal back the damage it deals.

Similar to overclocked, you're immune to the DOT from CoB, but you're also immune to all other damage - timing wise the Blurred momentum tends to end earlier than CoB's DOT, but it should be active again at this point opening up some options."
Over-Overclocked,,Split Second + Blurred Momentum + Cauldron of blood,"PATCHED with winter update, this is now too expensive at 3 abilities to be worth using, but it's still good, just a bit overkill

This is the ""god mode"" combo, combining ""Overclock"" with ""Blood shield"" - it's disgustingly safe to use as well, if you execute it in the correct order.
1. Spot a blood-filled enemy.
2. Activate split second and get close.
3. Target with cauldron of blood.
4. Activate Blurred momentum - you now cannot be attacked during the feeding.
5. Feed
6. CONTINUOUSLY activate blurred momentum - this will stop you taking damage and keep everything time-stopped around you.
7. When you slow down on blood regen, repeat from step 1.

Throw in some bladed hands during steps 6 and 7 and all enemies (other than hoards of bloodless) will fall.

The downside is that it's eating 3 of your abilities, and makes the game less interesting, so I'd recommend using only one of the constituent parts."
"Entrancement
(Toreador's Signature Combo)",A presence power in V5,Entrancing Kiss + Beckon,"This can two-shot heavies, use beckon + assassinate and then Entrancing Kiss + feed - also replenishes their blood cost.
Good for Toreador, but I think it's a little AP-expensive for others."
Mass Suicide,Dominate 5 dot ability in VTMB1,Mass Manipulation + Terminal Decree,This is the fastest way to eliminate groups of small enemies - and can completely shut down some encounters - doesn't kill heavies but does disarm them making them easier to deal with and let you get a free assassination/feed on them.
Shadow and Silk,The cancelled day 1 DLC that would have paywalled Lasombra and Toreador.,"Shadowstep, then Beckon a second target.","Shadowstep and Beckon both make the target feedable, and both only cost 2 pips. This means they can be used infinitely."
